V1	wc2.1_30s_bio_2	wc2.1_30s_bio_6	wc2.1_30s_bio_8	wc2.1_30s_bio_13	wc2.1_30s_bio_14	wc2.1_30s_bio_18
SYST-MOR-0007115.bam	12.0666666030884	-11.6999998092651	17.0833339691162	105	74	304
SYST-MOR-0007116.bam	12.1833333969116	-11.6000003814697	17.2333335876465	105	73	305
SYST-MOR-0007117.bam	12.1833333969116	-11.6000003814697	17.2333335876465	105	73	305
SYST-MOR-0007118.bam	12.1833333969116	-11.6000003814697	17.2333335876465	105	73	305
SYST-MOR-0007123.bam	12.3583335876465	-11.1000003814697	17.5833339691162	107	73	310
SYST-MOR-0007126.bam	12.3583335876465	-11.1000003814697	17.5833339691162	107	73	310
SYST-MOR-0007130.bam	12.3583335876465	-1	16.8666667938232	137	79	268
SYST-MOR-0007132.bam	12.3583335876465	-1	16.8666667938232	137	79	268
SYST-MOR-0007137.bam	12.3583335876465	-1	16.8666667938232	137	79	268
SYST-MOR-0007143.bam	12.3583335876465	-1	16.8666667938232	137	79	268
SYST-MOR-0007146.bam	12.3083333969116	-1	16.8500003814697	137	80	269
SYST-MOR-0007150.bam	10.7583332061768	5.40000009536743	27.4833335876465	151	69	368
SYST-MOR-0007151.bam	10.7583332061768	5.40000009536743	27.4833335876465	151	69	368
SYST-MOR-0007152.bam	10.7583332061768	5.40000009536743	27.4833335876465	151	69	368
SYST-MOR-0007153.bam	10.7916660308838	5.30000019073486	27.4499988555908	150	69	368
SYST-MOR-0007156.bam	10.8083333969116	5.30000019073486	27.466667175293	150	69	366
SYST-MOR-0007159.bam	12.9083337783813	3.70000004768372	23.6333332061768	123	44	207
SYST-MOR-0007161.bam	12.9083337783813	3.70000004768372	23.6333332061768	123	44	207
SYST-MOR-0007163.bam	12.9250001907349	3.70000004768372	23.6499996185303	123	44	207
SYST-MOR-0007164.bam	12.9250001907349	3.70000004768372	23.6499996185303	123	44	207
SYST-MOR-0007168.bam	12.9250001907349	3.70000004768372	23.6499996185303	123	44	207
SYST-MOR-0007171.bam	11.7666664123535	1.39999997615814	22.6166667938232	124	47	187
SYST-MOR-0007174.bam	11.7666664123535	1.39999997615814	22.6166667938232	124	47	190
SYST-MOR-0007176.bam	11.716667175293	1.39999997615814	22.5666675567627	124	47	188
SYST-MOR-0007177.bam	11.7416667938232	1.39999997615814	22.533332824707	124	47	187
SYST-MOR-0007179.bam	11.6416664123535	1.39999997615814	22.3999996185303	124	47	187
SYST-MOR-0007181.bam	10.5500001907349	-10.3000001907349	21.6499996185303	105	34	294
